round,idno,cntry,trustpeople1,trustpeople2,trustpeople3,politics1,politics2,politics3,politics4,politics5,politics6,politics7,discriminate,optimism,D1,D2,D3,D4R,D5,D6R,D7,D8
6,121,AL,7,8,6,3,5,1,6,5,0,0,0,2,4,4,4,2,3,2,4,NA
6,123,AL,8,6,7,5,3,4,2,1,9,10,0,2,2,2,2,4,2,3,2,NA
6,124,AL,4,5,5,1,4,3,0,0,5,8,0,1,1,3,2,3,1,3,2,NA
6,125,AL,7,9,7,4,1,1,0,0,3,6,0,2,2,3,2,3,2,2,2,NA
6,126,AL,4,7,4,1,0,6,0,0,8,8,0,2,2,3,2,2,2,3,2,NA
6,127,AL,10,9,9,10,10,10,10,10,10,10,0,1,1,1,1,4,1,4,3,NA
6,128,AL,0,0,2,0,0,0,0,0,0,0,0,1,4,3,2,3,2,4,2,NA
6,129,AL,5,6,6,0,2,7,0,6,6,8,0,1,1,2,2,2,3,2,2,NA
6,130,AL,10,5,10,10,5,10,10,10,10,10,0,1,2,3,4,4,1,4,2,NA
6,131,AL,8,6,7,8,7,9,5,8,8,10,0,1,2,3,2,3,2,3,2,NA
6,132,AL,6,3,3,3,2,6,2,4,7,6,0,4,2,2,2,2,1,1,2,NA
6,133,AL,0,7,10,7,5,7,5,8,NA,8,0,1,2,1,2,3,1,2,2,NA
6,134,AL,8,5,9,0,0,5,0,3,8,10,0,2,3,3,4,1,1,2,4,NA
6,135,AL,5,9,5,0,3,8,7,0,10,10,0,1,2,4,2,4,2,4,2,NA
6,136,AL,4,10,0,0,0,0,3,2,8,9,0,1,2,3,3,3,1,1,2,NA
6,137,AL,0,10,10,2,0,1,0,0,8,10,1,2,2,2,2,2,2,2,2,NA
6,138,AL,0,0,0,0,0,1,0,0,1,2,0,1,1,3,1,2,2,2,2,NA
6,139,AL,2,3,3,8,8,8,0,0,8,9,0,4,2,3,2,2,2,2,2,NA
6,140,AL,0,10,10,4,5,5,0,0,5,5,0,2,1,2,2,3,1,3,1,NA
6,141,AL,4,8,10,0,2,6,0,0,7,6,0,2,2,2,2,3,2,2,2,NA
6,142,AL,0,10,0,0,10,5,3,2,0,0,0,1,2,2,1,3,1,2,1,NA
6,143,AL,10,10,0,0,0,5,0,4,10,10,0,1,3,3,3,2,3,2,4,NA
6,144,AL,0,10,10,0,0,3,0,0,10,10,0,2,1,3,2,3,1,3,2,NA
6,145,AL,0,0,0,5,5,0,0,0,8,7,0,1,2,2,1,2,1,2,2,NA
6,146,AL,2,1,5,NA,4,9,0,1,8,9,0,1,1,2,2,2,3,2,1,NA
6,147,AL,5,2,2,10,10,10,10,10,10,0,0,2,2,2,3,3,1,3,1,NA
6,148,AL,0,NA,6,0,0,0,0,0,5,5,0,1,2,2,2,3,2,3,2,NA
6,149,AL,6,3,8,3,9,6,2,1,9,7,0,3,1,3,2,2,1,2,3,NA
6,150,AL,5,4,5,0,5,5,0,0,NA,NA,0,1,2,3,3,3,1,2,2,NA
6,151,AL,0,1,5,10,10,10,1,2,1,3,NA,2,2,3,2,2,2,2,3,NA
6,152,AL,2,2,5,10,10,10,10,10,10,10,0,2,2,2,3,2,1,2,2,NA
6,153,AL,0,10,0,5,5,5,6,4,10,10,0,2,2,3,2,3,2,3,2,NA
6,154,AL,3,5,2,0,0,10,0,0,10,10,NA,2,1,2,3,3,1,2,2,NA
6,155,AL,0,4,3,0,3,8,0,0,10,10,0,2,1,3,2,3,1,3,2,NA
6,156,AL,5,0,0,5,5,7,0,4,10,NA,0,2,4,4,3,2,4,2,4,NA
6,157,AL,0,10,0,4,4,4,4,4,6,10,0,2,3,4,3,3,1,2,2,NA
6,158,AL,0,0,0,0,10,10,0,7,8,8,0,2,1,2,1,2,1,2,2,NA
6,159,AL,7,3,5,0,0,0,0,0,7,7,0,5,3,4,4,1,4,1,4,NA
6,160,AL,0,0,8,6,0,5,2,0,10,10,0,2,1,2,3,3,2,3,2,NA
6,161,AL,0,5,4,5,8,10,0,6,10,10,0,2,2,3,1,3,1,4,2,NA
6,162,AL,8,5,6,4,8,7,7,5,10,10,0,2,1,4,4,4,1,2,1,NA
6,163,AL,3,5,4,4,7,9,2,2,6,4,0,4,3,2,4,2,3,2,3,NA
6,164,AL,NA,0,2,0,10,10,0,0,NA,NA,0,2,3,4,4,2,4,1,4,NA
6,165,AL,0,10,0,0,0,5,0,0,0,4,0,2,2,3,1,2,3,1,3,NA
6,166,AL,3,1,2,3,4,4,3,3,6,6,0,2,1,2,2,3,1,4,1,NA
6,167,AL,0,2,2,NA,8,10,8,8,NA,9,0,2,2,3,1,3,1,3,2,NA
6,168,AL,0,4,0,2,0,2,3,1,10,10,0,2,2,4,3,2,1,3,2,NA
6,169,AL,1,7,0,5,10,10,0,0,0,NA,0,3,1,NA,2,1,3,1,3,NA
6,170,AL,2,3,3,5,0,2,5,5,4,7,0,1,2,2,2,2,1,1,2,NA
6,171,AL,0,0,0,5,5,7,2,2,10,10,0,2,2,3,1,2,2,3,2,NA
6,172,AL,0,0,10,0,0,0,0,0,6,7,NA,2,2,2,2,2,1,2,3,NA
6,173,AL,0,3,10,0,0,0,0,0,10,10,0,2,2,3,2,2,1,2,2,NA
6,174,AL,5,10,7,4,3,0,0,4,8,10,0,2,1,1,1,3,1,3,2,NA
6,175,AL,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,4,NA,1,NA
6,176,AL,6,7,5,5,7,9,3,4,8,7,0,1,1,2,2,3,1,3,1,NA
6,177,AL,4,2,9,0,0,7,0,0,2,3,0,2,1,3,2,3,1,3,2,NA
6,178,AL,3,4,6,4,2,6,0,1,7,8,0,2,2,2,2,3,2,3,2,NA
6,179,AL,0,0,0,0,0,0,0,0,10,10,0,1,2,2,4,1,3,2,3,NA
6,180,AL,7,8,5,0,2,7,1,2,10,10,0,2,1,1,3,2,3,3,2,NA
6,181,AL,0,0,0,7,0,10,0,3,10,10,0,1,3,4,3,2,2,2,2,NA
6,182,AL,8,3,5,4,5,6,0,0,8,10,0,1,2,3,4,3,4,3,2,NA
6,183,AL,7,5,5,8,8,10,NA,9,10,10,0,2,2,2,2,3,1,3,2,NA
6,184,AL,0,2,5,0,0,0,0,0,10,10,0,4,2,3,3,2,3,2,3,NA
6,186,AL,6,7,9,0,3,8,0,0,10,10,0,2,3,4,3,1,1,1,4,NA
6,187,AL,5,8,8,6,NA,7,4,5,6,8,1,3,1,2,2,3,1,4,1,NA
6,188,AL,6,5,4,1,5,5,0,0,5,5,0,2,1,2,3,2,3,2,2,NA
6,189,AL,7,6,5,2,2,6,7,3,7,9,0,2,1,3,2,3,1,2,2,NA
6,192,AL,0,0,0,0,2,4,0,0,10,9,0,2,2,1,3,3,2,3,2,NA
6,193,AL,3,10,0,2,0,5,0,0,5,10,0,3,2,3,1,3,1,3,3,NA
6,194,AL,5,7,5,4,5,5,4,5,7,8,1,2,3,2,3,4,2,3,3,NA
6,195,AL,0,1,1,0,2,2,0,10,3,10,0,2,1,3,3,3,1,3,3,NA
6,196,AL,3,10,4,10,10,10,5,NA,10,10,0,1,1,3,3,2,2,2,3,NA
6,197,AL,7,3,3,8,10,10,8,9,9,10,NA,3,2,1,3,2,2,1,2,NA
6,198,AL,4,3,2,0,0,1,0,0,3,5,0,1,2,2,3,4,1,2,2,NA
6,199,AL,0,0,8,NA,0,10,0,0,10,10,0,2,2,3,2,3,1,2,2,NA
6,200,AL,0,0,0,0,5,5,0,0,7,7,0,2,4,3,3,1,2,2,4,NA
6,201,AL,3,7,10,7,0,0,6,0,10,10,0,1,3,3,2,3,2,3,3,NA
6,202,AL,1,2,2,1,1,2,2,1,9,9,0,4,1,2,1,3,2,3,2,NA
6,204,AL,7,5,4,7,8,10,7,0,8,5,0,2,2,2,2,3,1,3,2,NA
6,206,AL,5,2,3,5,4,7,2,8,10,10,0,1,2,3,3,3,1,3,2,NA
6,207,AL,0,1,0,0,0,2,0,1,5,8,0,1,3,2,3,2,2,2,3,NA
6,209,AL,0,2,4,0,3,7,5,5,6,6,0,2,1,2,1,3,1,4,2,NA
6,210,AL,2,8,8,8,8,8,8,8,10,NA,0,NA,1,NA,1,4,1,1,1,NA
6,211,AL,2,5,0,3,0,9,0,0,9,9,1,2,3,3,3,3,1,3,2,NA
6,212,AL,6,5,5,0,7,5,0,0,10,7,0,2,2,2,2,3,2,3,2,NA
6,214,AL,5,5,9,8,5,5,5,8,6,5,0,2,2,2,2,3,3,1,2,NA
6,215,AL,0,8,5,7,7,0,0,0,10,10,0,2,1,1,2,3,1,2,2,NA
6,216,AL,3,1,0,0,2,10,0,0,0,0,0,4,1,3,1,4,1,3,2,NA
6,217,AL,0,10,10,0,5,0,5,5,8,8,0,2,1,NA,1,4,1,3,2,NA
6,218,AL,7,0,3,3,0,5,5,5,10,10,0,3,3,3,2,2,2,2,3,NA
6,219,AL,0,0,10,0,10,10,0,0,8,9,0,3,2,2,4,NA,2,1,NA,NA
6,220,AL,4,7,5,2,0,6,NA,2,NA,8,0,1,2,4,4,3,1,3,3,NA
6,221,AL,3,2,2,2,2,2,2,2,8,9,1,4,3,3,3,1,4,1,4,NA
6,222,AL,3,8,9,0,0,5,0,0,8,8,0,2,1,1,2,3,1,2,2,NA
6,223,AL,1,1,3,3,0,0,0,0,6,7,0,1,2,2,3,4,1,NA,1,NA
6,224,AL,7,7,8,2,1,6,0,0,8,9,0,1,1,1,1,4,1,4,1,NA
6,225,AL,1,5,7,4,2,7,0,0,10,10,0,2,2,2,2,2,1,3,2,NA
6,226,AL,0,4,5,10,10,10,10,10,10,10,0,1,1,3,4,3,2,4,2,NA
6,227,AL,0,0,3,0,0,2,0,0,10,5,0,1,2,3,2,3,2,3,2,NA
6,228,AL,6,7,3,1,2,1,1,3,10,10,0,1,1,2,2,3,2,3,1,NA
6,229,AL,8,7,9,3,5,7,2,2,8,9,0,2,2,2,1,2,1,2,2,NA
6,230,AL,0,0,1,3,6,6,3,2,7,5,0,2,3,3,3,2,2,2,3,NA
6,231,AL,0,7,4,7,0,4,3,3,8,8,0,2,2,2,2,2,1,3,2,NA
6,233,AL,1,4,3,3,0,8,0,NA,10,10,0,3,2,2,3,2,1,2,2,NA
6,234,AL,0,5,0,0,3,3,0,0,10,10,0,1,2,3,3,3,2,3,3,NA
6,235,AL,3,7,4,5,10,6,4,7,10,NA,0,2,2,NA,2,3,2,2,2,NA
6,236,AL,7,10,4,0,3,7,5,0,8,9,0,2,2,3,3,3,2,3,2,NA
6,237,AL,3,10,4,0,0,0,0,0,5,5,0,2,2,2,2,2,2,3,2,NA
6,238,AL,0,10,0,0,0,5,0,0,0,0,0,2,2,2,1,3,1,3,2,NA
6,239,AL,5,5,0,0,2,5,3,5,5,3,0,2,2,4,3,3,1,2,2,NA
6,240,AL,3,5,5,9,9,9,4,6,9,NA,0,2,2,3,3,3,1,2,2,NA
6,241,AL,0,3,0,0,0,4,1,1,0,1,0,2,2,3,2,3,1,2,1,NA
6,242,AL,0,1,2,5,9,9,3,1,5,5,0,1,2,2,3,2,1,3,2,NA
6,243,AL,3,1,1,1,0,3,0,0,NA,NA,0,2,1,1,2,3,1,2,2,NA
6,244,AL,2,8,1,5,5,7,0,0,5,5,0,1,1,3,1,4,1,4,1,NA
6,245,AL,0,4,4,3,3,3,3,5,7,7,0,1,2,2,2,2,2,2,2,NA
6,246,AL,4,1,1,2,2,0,0,0,3,3,0,3,2,3,2,2,2,2,2,NA
6,247,AL,0,0,0,4,1,0,0,0,7,7,0,2,1,3,3,4,1,4,1,NA
6,248,AL,5,6,5,3,7,7,4,4,7,8,0,2,2,2,2,3,2,3,2,NA
6,249,AL,7,7,7,NA,9,9,6,6,NA,NA,0,NA,2,2,1,3,2,4,2,NA
6,250,AL,1,2,7,10,4,2,6,5,10,10,0,2,3,2,3,2,1,2,2,NA
6,251,AL,8,7,7,5,7,7,2,NA,10,10,1,1,2,2,2,2,1,3,2,NA
6,252,AL,0,3,0,0,10,10,0,10,9,10,0,3,2,3,2,2,2,2,2,NA
6,253,AL,3,2,8,0,0,1,0,10,8,10,0,1,2,2,2,3,2,3,2,NA
6,254,AL,0,10,6,0,2,8,4,9,9,8,1,1,2,3,2,3,1,3,2,NA
6,255,AL,7,5,5,9,8,8,3,3,NA,NA,0,NA,4,NA,3,2,3,2,3,NA
6,258,AL,0,8,1,6,6,10,6,8,10,10,0,1,1,4,3,3,3,3,1,NA
6,259,AL,0,4,5,0,0,1,0,2,5,7,0,2,2,3,2,2,1,2,2,NA
6,260,AL,5,0,2,0,0,5,0,0,10,10,0,3,1,2,3,3,1,3,1,NA
6,261,AL,8,10,10,7,5,0,8,5,5,5,0,2,1,2,1,3,2,4,2,NA
6,263,AL,0,0,4,4,6,4,0,0,NA,NA,0,1,2,3,4,2,2,2,2,NA
6,264,AL,4,5,7,0,3,10,0,5,8,8,0,2,2,2,1,2,1,4,2,NA
6,265,AL,7,5,2,2,3,4,2,5,0,5,0,2,3,4,2,3,1,3,2,NA
6,266,AL,0,0,0,7,10,8,8,9,10,10,0,1,1,2,1,4,2,3,2,NA
6,267,AL,5,4,0,0,0,0,0,1,0,1,0,1,2,2,2,2,2,1,1,NA
6,268,AL,4,5,2,1,1,2,0,0,10,9,0,2,2,3,2,2,2,3,2,NA
6,269,AL,10,7,10,5,0,5,3,3,7,8,0,1,2,1,2,3,1,3,2,NA
6,270,AL,0,5,3,8,5,3,2,3,9,10,0,1,1,2,3,3,1,4,1,NA
6,272,AL,0,0,0,0,0,2,0,0,7,9,0,2,1,2,2,1,2,2,2,NA
6,273,AL,0,0,0,0,0,0,0,0,5,5,0,4,2,2,1,2,1,3,2,NA
6,274,AL,7,10,4,2,0,8,2,3,10,10,0,2,2,3,2,2,1,3,2,NA
6,275,AL,5,8,6,0,5,9,0,0,7,10,0,2,2,1,1,4,1,2,1,NA
6,276,AL,0,0,0,0,0,3,0,4,1,10,0,1,1,1,1,1,1,3,2,NA
6,277,AL,3,1,4,0,0,0,0,0,8,2,0,1,4,4,1,2,3,1,3,NA
6,278,AL,5,5,7,6,2,2,0,4,10,8,0,2,2,NA,3,3,2,3,2,NA
6,279,AL,5,9,3,7,8,9,5,6,10,10,0,2,2,2,1,3,1,3,2,NA
6,280,AL,1,0,0,0,0,0,0,0,2,2,0,2,2,3,3,3,1,2,2,NA
6,281,AL,3,5,5,3,4,5,2,2,7,7,0,1,2,3,1,3,1,3,2,NA
6,282,AL,0,0,0,1,10,10,1,2,3,5,0,2,4,3,3,1,1,1,4,NA
6,284,AL,8,5,5,7,5,7,5,7,4,9,0,2,2,2,2,3,1,4,2,NA
6,285,AL,7,10,7,7,4,0,0,5,9,9,0,2,2,4,2,3,2,3,2,NA
6,286,AL,0,4,4,3,4,8,0,0,8,7,0,4,2,3,3,1,1,3,2,NA
6,287,AL,0,5,5,7,5,6,7,6,9,9,0,3,2,3,2,2,2,2,2,NA
6,288,AL,3,10,9,4,10,10,0,1,10,10,0,1,1,1,1,4,1,4,1,NA
6,289,AL,5,1,6,0,0,0,0,0,2,6,1,2,3,2,2,3,1,4,2,NA
6,290,AL,1,2,1,0,2,2,0,0,5,10,0,1,1,1,2,4,1,2,2,NA
6,291,AL,5,8,2,4,9,9,4,2,10,10,0,2,3,2,2,4,2,4,2,NA
6,292,AL,5,7,2,2,3,2,3,1,6,6,0,2,3,2,4,2,3,2,4,NA
6,293,AL,2,1,1,0,3,0,0,0,2,4,0,1,1,1,1,2,2,3,2,NA
6,294,AL,3,5,3,0,5,5,0,0,3,5,0,2,1,2,1,3,2,3,2,NA
6,295,AL,5,4,3,4,4,4,0,5,10,10,0,1,2,2,2,3,2,1,2,NA
6,296,AL,7,4,9,10,5,10,6,7,10,10,NA,2,2,2,2,3,2,2,2,NA
6,297,AL,0,3,2,3,3,3,0,0,10,10,0,3,1,2,3,3,2,1,2,NA
6,298,AL,0,0,0,0,0,0,0,0,0,NA,1,5,2,4,1,1,2,1,4,NA
6,299,AL,2,5,0,0,3,6,0,0,7,6,0,2,2,2,3,2,2,NA,2,NA
6,300,AL,0,2,2,0,5,5,0,0,5,8,0,2,2,4,3,1,2,2,2,NA
6,301,AL,7,5,0,10,10,10,7,7,10,10,0,1,2,2,2,2,1,3,2,NA
6,302,AL,2,8,5,2,6,10,3,NA,10,10,0,2,2,4,2,2,2,2,2,NA
6,303,AL,0,0,0,0,0,5,0,0,5,5,0,2,3,3,2,1,3,1,3,NA
6,304,AL,7,4,10,9,8,7,4,5,10,10,0,2,2,2,4,1,1,2,3,NA
6,305,AL,5,5,7,8,5,10,5,NA,10,10,0,2,1,3,2,2,1,2,2,NA
